subdoc_name,doc_name,context,position
0_1345136.txt,1345136.txt,"การซื้อขายตราสารหนี้ในไทย

1.	ตลาดตราสารหนี้
ตลาดตราสารหนี้นั้นแบ่งออกเป็นตลาดแรกและตลาดรอง ซึ่งได้กล่าวถึงความหมายของทั้งสองตลาดและกล่าวถึงการเสนอขายแบบ PO และ PP ไปแล้วในบทที่ 1 ของหนังสือ IC เล่มแรก (ความรู้พื้นฐานเกี่ยวกับการเงินและการลงทุน) ดังนั้นเนื้อหาในบทนี้จะกล่าวถึงตลาด TBX, ตลาด OTC ของตราสารหนี้ และตลาด Repo เท่านั้น
1.1	Thailand Bond Exchange: TBX (Thailand Bond Exchange ชื่อเดิมคือ Bond Electronic Exchange หรือ BEX นั่นเอง)
	1.	กระบวนการซื้อขาย
		*	ผู้ลงทุนส่งคำสั่งซื้อ/ขาย ไปยังบริษัทหลักทรัพย์ (Broker)
		*	บริษัทหลักทรัพย์ส่งคำสั่งของผู้ลงทุน เข้าระบบของ TBX
		*	TBX จะยืนยันการจับคู่ให้กับบริษัทหลักทรัพย์ และส่งผลการจับคู่ไปยังสำนักงานหักบัญชี (TCH)
		*	สำนักงานหักบัญชีจะทำหน้าที่เป็นตัวแทนรับซื้อ/ขาย (Counter Party) ให้กับผู้ลงทุน แล้วจ่ายชำระราคา/ส่งมอบหลักทรัพย์ (จ่ายชำระราคา ให้กับผู้ขายตราสารหนี้ หรือ ส่งมอบหลักทรัพย์ให้ผู้ซื้อ) ไปยังบริษัทหลักทรัพย์
		*	บริษัทหลักทรัพย์จ่ายชำระราคา/ส่งมอบหลักทรัพย์ให้ผู้ลงทุน","[[0, 945]]"
1_1345136.txt,1345136.txt,"การซื้อขายตราสารหนี้ในไทย
1.1	Thailand Bond Exchange: TBX (Thailand Bond Exchange ชื่อเดิมคือ Bond Electronic Exchange หรือ BEX นั่นเอง)
	2.	ช่องทางการส่งคำสั่งซื้อขาย แบ่งตามประเภทผู้ซื้อได้ดังนี้
		1)	ช่องทางสำหรับรายย่อย ส่งคำสั่งซื้อขายผ่านบริษัทหลักทรัพย์ (Broker)
		2)	ช่องทางสำหรับผู้ลงทุนสถาบัน ส่งคำสั่งซื้อขายผ่านระบบ Fixed Income and Related Securities Trading System (FIRSTs)","[[0, 25], [332, 442], [946, 1196]]"
2_1345136.txt,1345136.txt,"การซื้อขายตราสารหนี้ในไทย
1.1	Thailand Bond Exchange: TBX (Thailand Bond Exchange ชื่อเดิมคือ Bond Electronic Exchange หรือ BEX นั่นเอง)
	3.	ข้อมูลเกี่ยวกับตลาด TBX
		1)	ข้อมูลเกี่ยวกับการซื้อขายในตลาด TBX
			เวลาการซื้อขาย	ช่วงเช้า 10.00 ถึง 12.30  ช่วงบ่าย 14.30 ถึง 16.30
			ราคาซื้อขาย	ใช้ราคารวมดอกเบี้ยค้างรับ (dirty price/gross price) มีทศนิยม 2 ตำแหน่ง
			หน่วยการซื้อขาย	1 หน่วยซื้อขาย ซึ่งเท่ากับตราสารหนี้จำนวน 100 หน่วย (หากซื้อ 3 หน่วยซื้อขาย ก็จะได้ตราสารหนี้ 300 หน่วย)
			มูลค่าการซื้อขายต่อครั้ง	ขั้นต่ำ 100 หน่วยตราสารหนี้ (1 หน่วยซื้อขาย) หรือ 100,00 บาท และสูงสุดไม่เกิน 10,000 หน่วยตราสารหนี้ (100 หน่วยการซื้อขาย) หรือ 10,000,000 บาท
			ช่วงราคา (Spread)	ราคาปรับขึ้นลงช่วงละ 0.01
			ราคาสูงสุดต่ำสุด	ไม่ได้กำหนดราคาสูงสุด (Celling) และราคาต่ำสุด (floor) ของการเคลื่อนไหวของราคาแต่ละวันไว้
			ค่าธรรมเนียมการซื้อขาย	แต่ละ บล. เป็นผู้กำหนดเอง","[[0, 25], [332, 442], [1197, 1923]]"
3_1345136.txt,1345136.txt,"การซื้อขายตราสารหนี้ในไทย
1.1	Thailand Bond Exchange: TBX (Thailand Bond Exchange ชื่อเดิมคือ Bond Electronic Exchange หรือ BEX นั่นเอง)
	3.	ข้อมูลเกี่ยวกับตลาด TBX
		2)	เครื่องหมายต่างๆ ในตลาด TBX เครื่องหมายต่างๆ จะขึ้น 2 วันทำการ ซึ่งแต่ละเครื่องหมายมีความหมายดังนี้
			XI (Ex-Interest)	ผู้ซื้อหลักทรัพย์จะไม่มีสิทธิได้รับดอกเบี้ยของงวดนั้น
			XP (Ex-Principle)	ผู้ซื้อหลักทรัพย์จะไม่มีสิทธิได้รับเงินต้นของงวดนั้น
			NP (Notice Pending)	กำลังรอข้อมูลที่บริษัทต้องรายงานต่อตลาด TBX
			NR (Notice Received)	บริษัทที่ขึ้น NP รายงานข้อมูลแล้ว
			H (Halt)	หยุดการซื้อขายชั่วคราวไม่เกิน 1 รอบการซื้อขายของตลาด
			SP (Suspension)	หยุดการซื้อขายชั่วคราวเกิน 1 รอบการซื้อขายของตลาด","[[0, 25], [332, 442], [1197, 1224], [1924, 2435]]"
4_1345136.txt,1345136.txt,"การซื้อขายตราสารหนี้ในไทย
1.1	Thailand Bond Exchange: TBX (Thailand Bond Exchange ชื่อเดิมคือ Bond Electronic Exchange หรือ BEX นั่นเอง)
	3.	ข้อมูลเกี่ยวกับตลาด TBX
		3)	การชำระราคาและการส่งมอบตราสารหนี้ ซึ่งดำเนินการโดยสำนักงานหักบัญชี (Thailand Clearing House: TCH)  ประกอบด้วย 2 วิธี ดังนี้
			*	วิธีการชำระราคาและส่งมอบหลักทรัพย์แบบ Net Clearing เป็นการชำระราคาและส่งมอบตราสารหนี้ในอีก 2 วันทำการซื้อขาย (T+2) ซึ่งถือเป็นกรณีทั่วไป
			*	การชำระราคาและส่งมอบหลักทรัพย์แบบทีละรายการ (Gross Clearing) เป็นการชำระราคาและส่งมอบตราสารหนี้ภายใน 2 วันทำการซื้อขาย (อาจเป็นในวันที่ซื้อขาย, วันที่ T+1 หรือ T+2 ขึ้นอยู่กับการตกลงกันระหว่างผู้ซื้อและผู้ขาย) ซึ่งผู้ที่มีสิทธิเลือกวิธีนี้ต้องมีการซื้อขายตราสารหนี้มูลค่า ≥50 ล้านบาท","[[0, 25], [332, 442], [1197, 1224], [2436, 2995]]"
5_1345136.txt,1345136.txt,"การซื้อขายตราสารหนี้ในไทย
1.1	Thailand Bond Exchange: TBX (Thailand Bond Exchange ชื่อเดิมคือ Bond Electronic Exchange หรือ BEX นั่นเอง)
	3.	ข้อมูลเกี่ยวกับตลาด TBX
		สำคัญ ผู้ที่ลงทุนในวันที่ขึ้นเครื่องหมายจะไม่ได้รับสิทธินั้น เช่น ลงทุนในวันที่ขึ้นเครื่องหมาย XI จะไม่ได้รับดอกเบี้ยงวดนั้น  และหากต้องการดอกเบี้ยต้องลงทุนก่อนขึ้นเครื่องหมาย XI อย่างน้อย 1 วันทำการ","[[0, 25], [332, 442], [1197, 1224], [2996, 3197]]"
6_1345136.txt,1345136.txt,"การซื้อขายตราสารหนี้ในไทย
1.1	Thailand Bond Exchange: TBX (Thailand Bond Exchange ชื่อเดิมคือ Bond Electronic Exchange หรือ BEX นั่นเอง)
	4.	การการกำกับดูแลการซื้อขายตราสารหนี้ (มีหลักการเช่นเดียวกับการกำกับดูแลการซื้อขายของตลาดหลักทรัพย์แห่งประเทศไทยในบทที่ 4) ซึ่งดำเนินการโดยฝ่ายกำกับการซื้อขาย (Market surveillance department) ของตลาดหลักทรัพย์แห่งประเทศไทย ซึ่งทำหน้าที่ดังนี้ 
		1)	การติดตามภาวะการซื้อขาย เพื่อตรวจสอบคำสั่งซื้อขายที่ผิดปกติ
		2)	ติดตามการเปิดเผยข้อมูลของบริษัท เช่น การเปิดเผยข้อมูลที่มีผลสำคัญต่อฐานะการเงินของกิจการ, การรายงานข้อเท็จจริงเกี่ยวกับข่าวลือต่างๆ","[[0, 25], [332, 442], [3198, 3645]]"
7_1345136.txt,1345136.txt,"การซื้อขายตราสารหนี้ในไทย
1.1	Thailand Bond Exchange: TBX (Thailand Bond Exchange ชื่อเดิมคือ Bond Electronic Exchange หรือ BEX นั่นเอง)
	5.	การจดทะเบียนตราสารหนี้ในตลาด TBX
		1)	เกณฑ์การรับจดทะเบียน
			*	มูลค่าเสนอขายตราสารหนี้ ≥100 ล้านบาท
			*	ได้รับอนุญาตจากหน่วยงานกำกับดูแลให้สามารถออกตราสารหนี้ได้","[[0, 25], [332, 442], [3646, 3813]]"
8_1345136.txt,1345136.txt,"การซื้อขายตราสารหนี้ในไทย
1.1	Thailand Bond Exchange: TBX (Thailand Bond Exchange ชื่อเดิมคือ Bond Electronic Exchange หรือ BEX นั่นเอง)
	5.	การจดทะเบียนตราสารหนี้ในตลาด TBX
		2)	ค่าธรรมเนียนการจดทะเบียน ปัจจุบันไม่มี
		3)	การเปิดเผยข้อมูล บริษัทผู้ออกตราสารหนี้ต้องเปิดเผยข้อมูล ดังนี้
			*	ข้อมูลเกี่ยวกับการประชุมผู้ถือตราสารหนี้ เช่น กำหนดการวันประชุม, วาระการประชุม
			*	การปิดสมุดหรือเปลี่ยนแปลงวันปิดสมุดเพื่อกำหนดรายชื่อผู้ที่จะมีสิทธิต่างๆ เช่น สิทธิเข้าประชุม, สิทธิการรับดอกเบี้ย, สิทธิการรับเงินต้น, สิทธิในการซื้อหุ้นสามัญ (Convertible Bond) (การใช้สิทธิในการซื้อหุ้นสามัญ บางครั้งถูกเรียกว่า การแปลงสภาพ เนื่องจากตราสารหนี้ที่ถืออยู่จะถูกเปลี่ยนเป็นหุ้นสามัญเมื่อมีการใช้สิทธิ), สิทธิในการไถ่ถอนตราสารหนี้คืนก่อนครบกำหนดของผู้ถือตราสารหนี้ (Puttable Bond), การถูกไถ่ถอนตราสารหนี้คืนก่อนครบกำหนดจากผู้ออกตราสาร (Callable Bond)
			*	รายงานผลการใช้สิทธิต่างๆ เช่น การซื้อหุ้นสามัญ, การไถ่ถอนตราสารหนี้ก่อนครบกำหนด โดยข้อมูลที่รายงาน เช่น จำนวนการใช้สิทธิ, จำนวนตราสารหนี้คงเหลือ
			*	เหตุการณ์ที่อาจมีผลกระทบต่อราคาตราสารหนี้รุนแรง เช่น การเปลี่ยนแปลงสิทธิต่างๆ, การผิดนัดชำระหนี้ของผู้ออกตราสารหนี้, การมีเหตุให้ต้องดำรงอัตราส่วนทางการเงินตามข้อกำหนดสิทธิ
			*	รายงานงบการเงิน (กรณีตราสารหนี้ที่ออกโดยภาคเอกชน)","[[0, 25], [332, 442], [3646, 3682], [3814, 4862]]"
9_1345136.txt,1345136.txt,"การซื้อขายตราสารหนี้ในไทย
1.1	Thailand Bond Exchange: TBX (Thailand Bond Exchange ชื่อเดิมคือ Bond Electronic Exchange หรือ BEX นั่นเอง)
	6.	กลุ่มตราสารหนี้ในตลาด TBX แบ่งเป็น 3 กลุ่ม ดังนี้
		1)	พันธบัตรรัฐบาล
		2)	พันธบัตรรัฐวิสาหกิจ
		3)	ตราสารหนี้ที่ออกโดยภาคเอกชน","[[0, 25], [332, 442], [4863, 4994]]"
